attorney-general	attorneys-general
cherry	cherries		
library	libraries
city	cities		
nappy	nappies
country	countries		
sky	skies
cry	cries		
spy	spies
curry	curries		
story	stories
diary	diaries		
strawberry	strawberries
discovery	discoveries		
territory	territories
duty	duties		
theory	theories
banjo	banjos
banjo	banjoes
archipelago	archipelagos
archipelago	archipelagoes
cargo	cargos
cargo	cargoes
desperado	desperados
desperado	desperadoes
halo	halos
halo	haloes
lasso	lassos
lasso	lassoes
mango	mangoes
memento	mementos
memento	mementoes
motto	mottos
motto	mottoes
tornado	tornados
tornado	tornadoes
volcano	volcanos
volcano	volcanoes
zero	zeros
zero	zeroes
buffalo	buffaloes		
potato	potatoes
echo	echoes		
tomato	tomatoes
hero	heroes		
torpedo	torpedoes
mosquito	mosquitoes		
veto	vetoes
negro	negroes		
volcano	volcanoes 
bamboo	bamboos		
ratio	ratios
casino	casinos		
scenario	scenarios
commando	commandos		
silo	silos
disco	discos		
shampoo	shampoos
duo	duos		
solo	solos
dynamo	dynamos		
stereo	stereos
ghetto	ghettos		
studio	studios
kangaroo	kangaroos		
tattoo	tattoos
kilo	kilos		
trio	trios
photo	photos		
video	videos
piano	pianos		
zero	zeros
radio	radios		
zoo	zoos
address	addresses		
fish	fishes
batch	batches		
inch	inches
beach	beaches		
itch	itches
boss	bosses		
kiss	kisses
box	boxes		
lens	lenses
branch	branches		
lunch	lunches
brush	brushes		
match	matches
bus	buses		
minus	minuses
buzz	buzzes		
patch	patches
catch	catches		
peach	peaches
church	churches		
plus	pluses
class	classes		
prefix	prefixes
clutch	clutches		
prospectus	prospectuses
coach	coaches		
quiz	quizzes
complex	complexes		
six	sixes
cross	crosses		
slash	slashes
dish	dishes		
speech	speeches
dress	dresses		
suffix	suffixes
eyelash	eyelashes		
tax	taxes
flash	flashes		
thrush 	thrushes 
fox	foxes		
virus	viruses
gas	gases		
watch	watches
glass	glasses		
wish	wishes
abyss abysses
alumnus alumni
analysis analyses
aquarium aquaria
arch arches
atlas atlases
axe axes
baby babies
bacterium bacteria
batch batches
beach beaches
brush brushes
bus buses
calf calves
chateau chateaux
cherry cherries
child children
church churches
circus circuses
city cities
cod cod
copy copies
crisis crises
curriculum curricula
deer deer
dictionary dictionaries
domino dominoes
dwarf dwarves
echo echoes
elf elves
emphasis emphases
family families
fax faxes
fish fish
flush flushes
fly flies
foot feet
fungus fungi
half halves
hero heroes
hippopotamus hippopotami
hoax hoaxes
hoof hooves
index indexes
iris irises
kiss kisses
knife knives
lady ladies
leaf leaves
life lives
loaf loaves
man men
mango mangoes
memorandum memoranda
mess messes
moose moose
motto mottoes
mouse mice
nanny nannies
neurosis neuroses
nucleus nuclei
oasis oases
octopus octopi
party parties
pass passes
penny pennies
person people
plateau plateaux
poppy poppies
potato potatoes
quiz quizzes
reflex reflexes
runner-up runners-up
scarf scarves
scratch scratches
series series
sheaf sheaves
sheep sheep
shelf shelves
son-in-law sons-in-law
species species
splash splashes
spy spies
stitch stitches
story stories
syllabus syllabi
tax taxes
thesis theses
thief thieves
tomato tomatoes
tooth teeth
tornado tornadoes
try tries
volcano volcanoes
waltz waltzes
wash washes
watch watches
wharf wharves
wife wives
woman women
 boat	boats
house	houses
cat	cats
river	rivers
bus	buses
wish	wishes
pitch	pitches
box	boxes
penny	pennies
spy	spies
baby	babies
city	cities
daisy	daisies
woman	women
man	men
child	children
tooth	teeth
foot	feet
person	people
leaf	leaves
mouse	mice
goose	geese
half	halves
knife	knives
wife	wives
life	lives
elf	elves
loaf	loaves
potato	potatoes
tomato	tomatoes
cactus	cacti
focus	foci
fungus	fungi
nucleus	nuclei
syllabus	syllabi
syllabus	syllabuses
analysis	analyses
diagnosis	diagnoses
oasis	oases
thesis	theses
crisis	crises
phenomenon	phenomena
criterion	criteria
datum	data
sheep	sheep
fish	fish
deer	deer
species	species
aircraft	aircraft
